cref_evaluation;1;1;Si;SCONJ;100;ref
cref_evaluation;1;2;fanm;NOUN;100;ref
cref_evaluation;1;3;-la;DET;100;ref
cref_evaluation;1;4;pa;ADV;100;ref
cref_evaluation;1;5;té;VERB;100;ref
cref_evaluation;1;6;la;ADV;100;ref
cref_evaluation;1;7;an;PRON;100;ref
cref_evaluation;1;8;té;PART;100;ref
cref_evaluation;1;9;ké;PART;100;ref
cref_evaluation;1;10;pati;VERB;100;ref
cref_evaluation;1;11;.;PUNCT;100;ref
cref_evaluation;4;1;A_fòs;ADP;100;ref
cref_evaluation;4;2;makak;NOUN;100;ref
cref_evaluation;4;3;karésé;VERB;100;ref
cref_evaluation;4;4;pitit;NOUN;100;ref
cref_evaluation;4;5;a'y;PRON;100;ref
cref_evaluation;4;6;,;PUNCT;100;ref
cref_evaluation;4;7;i;PRON;100;ref
cref_evaluation;4;8;kyouwé;VERB;100;ref
cref_evaluation;4;9;'y;PRON;100;ref
cref_evaluation;4;10;.;PUNCT;100;ref
cref_evaluation;5;1;Maladi;NOUN;100;ref
cref_evaluation;5;2;vin;VERB;100;ref
cref_evaluation;5;3;a;ADP;100;ref
cref_evaluation;5;4;chouval;NOUN;100;ref
cref_evaluation;5;5;i;PRON;100;ref
cref_evaluation;5;6;ka;PART;100;ref
cref_evaluation;5;7;alé;VERB;100;ref
cref_evaluation;5;8;a;ADP;100;ref
cref_evaluation;5;9;pyé;NOUN;100;ref
cref_evaluation;5;10;.;PUNCT;100;ref
cref_evaluation;6;1;Two;ADV;100;ref
cref_evaluation;6;2;présé;VERB;100;ref
cref_evaluation;6;3;pa;ADV;100;ref
cref_evaluation;6;4;ka;PART;100;ref
cref_evaluation;6;5;fè;AUX;100;ref
cref_evaluation;6;6;jou;NOUN;100;ref
cref_evaluation;6;7;ouvè;VERB;100;ref
cref_evaluation;6;8;.;PUNCT;100;ref
cref_evaluation;7;1;An;DET;100;ref
cref_evaluation;7;2;chandèl;NOUN;100;ref
cref_evaluation;7;3;,;PUNCT;100;ref
cref_evaluation;7;4;kabrit;NOUN;100;ref
cref_evaluation;7;5;ka;PART;100;ref
cref_evaluation;7;6;sanb;VERB;100;ref
cref_evaluation;7;7;ti;ADJ;100;ref
cref_evaluation;7;8;fi;NOUN;100;ref
cref_evaluation;8;1;A_fòs;SCONJ;100;ref
cref_evaluation;8;2;frékanté;VERB;100;ref
cref_evaluation;8;3;chyen;NOUN;100;ref
cref_evaluation;8;4;ou;PRON;100;ref
cref_evaluation;8;5;ka;PART;100;ref
cref_evaluation;8;6;trapé;VERB;100;ref
cref_evaluation;8;7;pis';NOUN;100;ref
cref_evaluation;9;1;sé;VERB;100;ref
cref_evaluation;9;2;gren;NOUN;100;ref
cref_evaluation;9;3;diri;NOUN;100;ref
cref_evaluation;9;4;ka;PART;100;ref
cref_evaluation;9;5;fè;VERB;100;ref
cref_evaluation;9;6;sak;NOUN;100;ref
cref_evaluation;9;7;diri;NOUN;100;ref
cref_evaluation;9;8;.;PUNCT;100;ref
cref_evaluation;10;1;Malé;NOUN;100;ref
cref_evaluation;10;2;pa;ADV;100;ref
cref_evaluation;10;3;ni;VERB;100;ref
cref_evaluation;10;4;klakson;NOUN;100;ref
cref_evaluation;10;5;.;PUNCT;100;ref
cref_evaluation;11;1;Sé;VERB;100;ref
cref_evaluation;11;2;an;DET;100;ref
cref_evaluation;11;3;sèl;ADJ;100;ref
