corpus_name;sentence_position;word_position;value;postag_name;confidence_score;tagger
weissenburger;1;1;E;NOUN;10;TreeTagger
weissenburger;1;2;weissenburger;NOUN;10;TreeTagger
weissenburger;1;3;in;ADP;10;TreeTagger
weissenburger;1;4;de;NOUN;10;TreeTagger
weissenburger;1;5;50er;ADJ;10;TreeTagger
weissenburger;1;6;Johre;NOUN;10;TreeTagger
weissenburger;2;1;vum;ADP;10;TreeTagger
weissenburger;2;2;Raymond;NOUN;10;TreeTagger
weissenburger;2;3;Weissenburger;NOUN;10;TreeTagger
weissenburger;3;1;Mir;NOUN;10;TreeTagger
weissenburger;3;2;schriwe;ADJ;10;TreeTagger
weissenburger;3;3;’s;NOUN;10;TreeTagger
weissenburger;3;4;Johr;NOUN;10;TreeTagger
weissenburger;3;5;1953.;NUM;10;TreeTagger
weissenburger;3;6;Es;NOUN;10;TreeTagger
weissenburger;3;7;isch;VERB;10;TreeTagger
weissenburger;3;8;e;ADJ;10;TreeTagger
weissenburger;3;9;Dienschdàà;NOUN;10;TreeTagger
weissenburger;3;10;im;ADP;10;TreeTagger
weissenburger;3;11;April;NOUN;10;TreeTagger
weissenburger;3;12;.;PUNCT;10;TreeTagger
weissenburger;4;1;E;NOUN;10;TreeTagger
weissenburger;4;2;gröijer;ADJ;10;TreeTagger
weissenburger;4;3;,;PUNCT;10;TreeTagger
weissenburger;4;4;troschtloser;ADJ;10;TreeTagger
weissenburger;4;5;Dienschdàà;NOUN;10;TreeTagger
weissenburger;4;6;,;PUNCT;10;TreeTagger
weissenburger;4;7;ohne;CONJ;10;TreeTagger
weissenburger;4;8;Wind;NOUN;10;TreeTagger
weissenburger;4;9;fer;ADP;10;TreeTagger
weissenburger;4;10;die;DET;10;TreeTagger
weissenburger;4;11;Wolike;NOUN;10;TreeTagger
weissenburger;4;12;ze;PART;10;TreeTagger
weissenburger;4;13;vertriwe;ADJ;10;TreeTagger
weissenburger;4;14;wie;CONJ;10;TreeTagger
weissenburger;4;15;schunn;ADV;10;TreeTagger
weissenburger;4;16;de;NOUN;10;TreeTagger
weissenburger;4;17;gànze;NOUN;10;TreeTagger
weissenburger;4;18;Morje;NOUN;10;TreeTagger
weissenburger;4;19;de;NOUN;10;TreeTagger
weissenburger;4;20;Himmel;NOUN;10;TreeTagger
weissenburger;4;21;bedecke;VERB;10;TreeTagger
weissenburger;4;22;un;CONJ;10;TreeTagger
weissenburger;4;23;nit;PART;10;TreeTagger
weissenburger;4;24;ferti;NOUN;10;TreeTagger
weissenburger;4;25;wäre;VERB;10;TreeTagger
weissenburger;4;26;mit;ADP;10;TreeTagger
weissenburger;4;27;niessle;NOUN;10;TreeTagger
weissenburger;4;28;.;PUNCT;10;TreeTagger
weissenburger;5;1;Fàscht;NOUN;10;TreeTagger
weissenburger;5;2;kennt;VERB;10;TreeTagger
weissenburger;5;3;m;NOUN;10;TreeTagger
weissenburger;5;4;’r;PRON;10;TreeTagger
weissenburger;5;5;glauwe;VERB;10;TreeTagger
weissenburger;5;6;es;PRON;10;TreeTagger
weissenburger;5;7;wärd;ADJ;10;TreeTagger
weissenburger;5;8;e;ADJ;10;TreeTagger
weissenburger;5;9;normàler;NOUN;10;TreeTagger
weissenburger;5;10;Dienschdàà;NOUN;10;TreeTagger
weissenburger;5;11;,;PUNCT;10;TreeTagger
weissenburger;5;12;wenn;CONJ;10;TreeTagger
weissenburger;5;13;nit;PART;10;TreeTagger
weissenburger;5;14;gànz;ADV;10;TreeTagger
weissenburger;5;15;àm;PART;10;TreeTagger
weissenburger;5;16;End;ADJ;10;TreeTagger
weissenburger;5;17;vum;ADP;10;TreeTagger
weissenburger;5;18;Dorf;NOUN;10;TreeTagger
weissenburger;5;19;,;PUNCT;10;TreeTagger
weissenburger;5;20;im;ADP;10;TreeTagger
weissenburger;5;21;e;ADJ;10;TreeTagger
